reward definition:  [[[10, 4, 4], [2, 5, 2], [-4, -2, 0]], [[0, 0, 0], [0, 0, 0], [0, 0, 0]]]
==============================================================
max_step_before_punishment:  15
==============================================================
WARN: Could not seed environment <MultiAgentEnv instance>
obs_shape_n:  [(17,), (17,), (12,), (12,)]
Using good policy ddpg and adv policy ddpg
4 agents  Starting iterations...
steps: 58032,episodes: 1000, coordination:[[0.007], [0.03]],  reward_0: -4.8e+01, reward_1: 0.15, time: 180.155
steps: 116221,episodes: 2000, coordination:[[0.023], [0.025]],  reward_0: -5.6e+01, reward_1: 0.19, time: 587.957
steps: 174407,episodes: 3000, coordination:[[0.014], [0.013]],  reward_0: -4e+01, reward_1: 0.13, time: 1014.586
steps: 232916,episodes: 4000, coordination:[[0.029], [0.023]],  reward_0: -3.6e+01, reward_1: 0.23, time: 1448.417
steps: 290459,episodes: 5000, coordination:[[0.035], [0.056]],  reward_0: -3.9e+01, reward_1: 0.42, time: 1874.828
steps: 346712,episodes: 6000, coordination:[[0.095], [0.087]],  reward_0: -5.2e+01, reward_1: 0.8, time: 2294.284
steps: 401256,episodes: 7000, coordination:[[0.256], [0.069]],  reward_0: -6.5e+01, reward_1: 1.9, time: 2700.791
steps: 448258,episodes: 8000, coordination:[[0.712], [0.045]],  reward_0: -7.4e+01, reward_1: 6.0, time: 3057.701
steps: 474598,episodes: 9000, coordination:[[1.777], [0.009]],  reward_0: -9.6e+01, reward_1: 1.6e+01, time: 3266.928
steps: 492694,episodes: 10000, coordination:[[1.645], [0.013]],  reward_0: -7.5e+01, reward_1: 1.9e+01, time: 3417.222
steps: 509543,episodes: 11000, coordination:[[1.531], [0.012]],  reward_0: -7.1e+01, reward_1: 1.9e+01, time: 3559.061
steps: 526255,episodes: 12000, coordination:[[1.516], [0.008]],  reward_0: -7.1e+01, reward_1: 1.9e+01, time: 3699.646
steps: 543339,episodes: 13000, coordination:[[1.603], [0.01]],  reward_0: -6.6e+01, reward_1: 1.9e+01, time: 3843.192
steps: 561983,episodes: 14000, coordination:[[1.942], [0.007]],  reward_0: -7.3e+01, reward_1: 1.9e+01, time: 3997.847
steps: 587114,episodes: 15000, coordination:[[2.326], [0.007]],  reward_0: -1e+02, reward_1: 1.5e+01, time: 4200.302
steps: 636631,episodes: 16000, coordination:[[0.681], [0.004]],  reward_0: -9.4e+01, reward_1: 4.3, time: 4580.353
steps: 694336,episodes: 17000, coordination:[[0.087], [0.009]],  reward_0: -6.8e+01, reward_1: 0.43, time: 5025.764
steps: 751789,episodes: 18000, coordination:[[0.077], [0.006]],  reward_0: -6e+01, reward_1: 0.81, time: 5473.572
steps: 800556,episodes: 19000, coordination:[[0.747], [0.013]],  reward_0: -7e+01, reward_1: 5.2, time: 5857.583
steps: 836985,episodes: 20000, coordination:[[1.265], [0.012]],  reward_0: -8.6e+01, reward_1: 1.1e+01, time: 6150.177
steps: 864668,episodes: 21000, coordination:[[1.547], [0.035]],  reward_0: -7.5e+01, reward_1: 1.5e+01, time: 6376.535
steps: 891203,episodes: 22000, coordination:[[1.79], [0.01]],  reward_0: -7.6e+01, reward_1: 1.6e+01, time: 6595.163
steps: 914262,episodes: 23000, coordination:[[1.806], [0.012]],  reward_0: -6.9e+01, reward_1: 1.8e+01, time: 6788.327
steps: 935673,episodes: 24000, coordination:[[1.848], [0.019]],  reward_0: -7e+01, reward_1: 1.8e+01, time: 6969.89
steps: 956505,episodes: 25000, coordination:[[1.815], [0.006]],  reward_0: -6.6e+01, reward_1: 1.9e+01, time: 7146.133
steps: 975852,episodes: 26000, coordination:[[1.805], [0.011]],  reward_0: -6.9e+01, reward_1: 1.9e+01, time: 7311.672
steps: 994306,episodes: 27000, coordination:[[1.826], [0.013]],  reward_0: -6.3e+01, reward_1: 1.9e+01, time: 7470.618
steps: 1011997,episodes: 28000, coordination:[[1.667], [0.009]],  reward_0: -6.4e+01, reward_1: 1.9e+01, time: 7625.058
steps: 1029915,episodes: 29000, coordination:[[1.569], [0.011]],  reward_0: -6.2e+01, reward_1: 1.9e+01, time: 7781.873
steps: 1047721,episodes: 30000, coordination:[[1.591], [0.012]],  reward_0: -6e+01, reward_1: 2e+01, time: 7936.816
steps: 1065340,episodes: 31000, coordination:[[1.551], [0.007]],  reward_0: -6e+01, reward_1: 2e+01, time: 8092.136
steps: 1082448,episodes: 32000, coordination:[[1.51], [0.012]],  reward_0: -5.7e+01, reward_1: 2e+01, time: 8241.827
steps: 1099612,episodes: 33000, coordination:[[1.484], [0.008]],  reward_0: -5.5e+01, reward_1: 2e+01, time: 8392.95
steps: 1117118,episodes: 34000, coordination:[[1.472], [0.012]],  reward_0: -5.4e+01, reward_1: 1.9e+01, time: 8546.18
steps: 1133596,episodes: 35000, coordination:[[1.48], [0.011]],  reward_0: -5.1e+01, reward_1: 2e+01, time: 8692.62
steps: 1150498,episodes: 36000, coordination:[[1.491], [0.013]],  reward_0: -5.1e+01, reward_1: 2e+01, time: 8842.195
steps: 1167386,episodes: 37000, coordination:[[1.505], [0.008]],  reward_0: -5e+01, reward_1: 2e+01, time: 8989.167
steps: 1184050,episodes: 38000, coordination:[[1.507], [0.007]],  reward_0: -4.8e+01, reward_1: 2e+01, time: 9137.538
steps: 1200599,episodes: 39000, coordination:[[1.587], [0.006]],  reward_0: -4.8e+01, reward_1: 2e+01, time: 9283.896
steps: 1217192,episodes: 40000, coordination:[[1.534], [0.009]],  reward_0: -4.8e+01, reward_1: 2e+01, time: 9431.305
steps: 1233869,episodes: 41000, coordination:[[1.605], [0.012]],  reward_0: -4.9e+01, reward_1: 2e+01, time: 9578.048
steps: 1250605,episodes: 42000, coordination:[[1.629], [0.003]],  reward_0: -4.9e+01, reward_1: 2e+01, time: 9727.512
steps: 1267633,episodes: 43000, coordination:[[1.613], [0.007]],  reward_0: -4.8e+01, reward_1: 2e+01, time: 9877.915
steps: 1284574,episodes: 44000, coordination:[[1.558], [0.007]],  reward_0: -4.7e+01, reward_1: 2e+01, time: 10026.865
steps: 1301703,episodes: 45000, coordination:[[1.568], [0.006]],  reward_0: -4.6e+01, reward_1: 2e+01, time: 10177.747
steps: 1318921,episodes: 46000, coordination:[[1.599], [0.009]],  reward_0: -4.6e+01, reward_1: 2e+01, time: 10329.783
steps: 1336133,episodes: 47000, coordination:[[1.58], [0.006]],  reward_0: -4.6e+01, reward_1: 2e+01, time: 10482.173
steps: 1352848,episodes: 48000, coordination:[[1.534], [0.015]],  reward_0: -4.4e+01, reward_1: 2e+01, time: 10630.646
steps: 1369287,episodes: 49000, coordination:[[1.555], [0.009]],  reward_0: -4.5e+01, reward_1: 2e+01, time: 10779.167
steps: 1386082,episodes: 50000, coordination:[[1.558], [0.002]],  reward_0: -4.6e+01, reward_1: 2e+01, time: 10927.875
steps: 1402381,episodes: 51000, coordination:[[1.517], [0.006]],  reward_0: -4.4e+01, reward_1: 2e+01, time: 11074.707
steps: 1418655,episodes: 52000, coordination:[[1.527], [0.005]],  reward_0: -4.4e+01, reward_1: 2e+01, time: 11218.09
steps: 1435372,episodes: 53000, coordination:[[1.523], [0.006]],  reward_0: -4.5e+01, reward_1: 2e+01, time: 11366.173
steps: 1451472,episodes: 54000, coordination:[[1.53], [0.007]],  reward_0: -4.5e+01, reward_1: 2e+01, time: 11509.759
steps: 1467947,episodes: 55000, coordination:[[1.525], [0.006]],  reward_0: -4.4e+01, reward_1: 2e+01, time: 11656.834
steps: 1484105,episodes: 56000, coordination:[[1.502], [0.015]],  reward_0: -4.5e+01, reward_1: 2e+01, time: 11802.346
steps: 1501110,episodes: 57000, coordination:[[1.504], [0.005]],  reward_0: -4.4e+01, reward_1: 2e+01, time: 11952.871
steps: 1517161,episodes: 58000, coordination:[[1.488], [0.015]],  reward_0: -4.5e+01, reward_1: 2e+01, time: 12095.776
steps: 1533317,episodes: 59000, coordination:[[1.517], [0.007]],  reward_0: -4.4e+01, reward_1: 2e+01, time: 12239.453
steps: 1549437,episodes: 60000, coordination:[[1.497], [0.004]],  reward_0: -4.5e+01, reward_1: 2e+01, time: 12382.625
steps: 1565898,episodes: 61000, coordination:[[1.543], [0.005]],  reward_0: -4.4e+01, reward_1: 2e+01, time: 12528.548
steps: 1582375,episodes: 62000, coordination:[[1.522], [0.004]],  reward_0: -4.7e+01, reward_1: 2e+01, time: 12674.43
steps: 1598713,episodes: 63000, coordination:[[1.496], [0.009]],  reward_0: -4.6e+01, reward_1: 2e+01, time: 12819.706
steps: 1615051,episodes: 64000, coordination:[[1.488], [0.006]],  reward_0: -4.6e+01, reward_1: 2e+01, time: 12965.478
steps: 1631337,episodes: 65000, coordination:[[1.553], [0.015]],  reward_0: -4.6e+01, reward_1: 2e+01, time: 13110.495
steps: 1647795,episodes: 66000, coordination:[[1.578], [0.007]],  reward_0: -4.5e+01, reward_1: 2e+01, time: 13257.07
steps: 1664500,episodes: 67000, coordination:[[1.579], [0.006]],  reward_0: -4.6e+01, reward_1: 2e+01, time: 13406.136
steps: 1681351,episodes: 68000, coordination:[[1.595], [0.001]],  reward_0: -4.8e+01, reward_1: 2e+01, time: 13554.508
steps: 1698031,episodes: 69000, coordination:[[1.615], [0.003]],  reward_0: -4.7e+01, reward_1: 2e+01, time: 13703.244
steps: 1714959,episodes: 70000, coordination:[[1.634], [0.005]],  reward_0: -4.4e+01, reward_1: 2e+01, time: 13854.517
steps: 1731750,episodes: 71000, coordination:[[1.574], [0.01]],  reward_0: -4.4e+01, reward_1: 2e+01, time: 14005.086
steps: 1748681,episodes: 72000, coordination:[[1.63], [0.01]],  reward_0: -4.4e+01, reward_1: 2e+01, time: 14157.517
steps: 1765566,episodes: 73000, coordination:[[1.592], [0.005]],  reward_0: -4.6e+01, reward_1: 2e+01, time: 14306.881
steps: 1782334,episodes: 74000, coordination:[[1.588], [0.011]],  reward_0: -4.6e+01, reward_1: 2e+01, time: 14455.936
steps: 1799221,episodes: 75000, coordination:[[1.597], [0.006]],  reward_0: -4.4e+01, reward_1: 2e+01, time: 14606.296
steps: 1815728,episodes: 76000, coordination:[[1.536], [0.017]],  reward_0: -4.4e+01, reward_1: 2e+01, time: 14753.163
steps: 1832508,episodes: 77000, coordination:[[1.595], [0.013]],  reward_0: -4.3e+01, reward_1: 2e+01, time: 14903.434
steps: 1849891,episodes: 78000, coordination:[[1.674], [0.007]],  reward_0: -4.7e+01, reward_1: 2e+01, time: 15056.731
